,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
63,p64,6,"(4000.0, 0.0)","(-2000.0, 3464.1)",H9,H17,7999,332
64,p65,6,"(-1000.0, -3464.1)","(2500.0, -2598.08)",H12,H11,3999,212
65,p66,6,"(2000.0, 0.0)","(-3500.0, -2598.08)",H9,H14,7000,363
66,p67,6,"(3000.0, 1732.05)","(500.0, 866.03)",H8,H1,2999,105
67,p68,6,"(500.0, 866.03)","(-500.0, 4330.13)",H2,H18,3999,188
68,p69,6,"(2500.0, 866.03)","(-1000.0, 1732.05)",H2,H7,3999,220
69,p70,6,"(2500.0, 866.03)","(500.0, 866.03)",H2,H7,2000,106
70,p71,6,"(1000.0, 1732.05)","(1000.0, 0.0)",H19,H3,1999,108
71,p72,6,"(0, 1732.05)","(-1000.0, 3464.1)",H7,H17,1999,122
72,p73,6,"(-500.0, 866.03)","(2000.0, 1732.05)",H1,H8,2999,131
73,p74,7,"(2000.0, 1732.05)","(2500.0, -866.03)",H2,H9,3000,152
74,p75,7,"(-2000.0, 0.0)","(0, 0)",H15,H1,2000,90
75,p76,7,"(4000.0, -1732.05)","(-2000.0, -3464.1)",H10,H13,6999,280
76,p77,7,"(-1000.0, -0.0)","(500.0, -2598.08)",H6,H11,3000,143
77,p78,7,"(-500.0, -2598.08)","(1000.0, -3464.1)",H4,H12,1999,99
78,p79,7,"(-1000.0, -1732.05)","(2500.0, -2598.08)",H5,H11,4000,185
79,p80,7,"(-1000.0, 0.0)","(3000.0, 1732.05)",H5,H8,4999,223
80,p81,7,"(-2000.0, 1732.05)","(2000.0, -1732.05)",H17,H10,5999,302
81,p82,7,"(2000.0, 0.0)","(-1000.0, 3464.1)",H9,H18,4999,196
82,p83,8,"(500.0, -866.03)","(-500.0, -2598.08)",H4,H13,1999,115
83,p84,8,"(-1000.0, -3464.1)","(500.0, -866.03)",H12,H1,2999,151
84,p85,8,"(-2000.0, 0.0)","(500.0, -866.03)",H6,H1,3000,139
85,p86,8,"(2000.0, 3464.1)","(500.0, -2598.08)",H19,H12,7000,268
86,p87,8,"(-3500.0, 2598.08)","(-2000.0, -1732.05)",H16,H14,5000,251
87,p88,8,"(2500.0, 866.03)","(500.0, 4330.13)",H9,H18,3999,154
88,p89,8,"(-3500.0, 866.03)","(2500.0, -866.03)",H16,H10,7000,361
89,p90,8,"(2500.0, 2598.08)","(2000.0, -0.0)",H19,H2,3000,127
90,p91,8,"(2500.0, -2598.08)","(-1000.0, -1732.05)",H11,H13,4000,231
91,p92,8,"(-3500.0, 866.03)","(2000.0, 1732.05)",H16,H19,5999,292
92,p93,8,"(-4000.0, -1732.05)","(-2500.0, 2598.08)",H14,H17,5000,194
93,p94,8,"(2500.0, 866.03)","(500.0, -2598.08)",H8,H11,4000,202
94,p95,8,"(3000.0, 1732.05)","(1500.0, -866.03)",H8,H3,3000,138
95,p96,8,"(500.0, -866.03)","(3500.0, 2598.08)",H4,H8,5000,203
96,p97,8,"(-500.0, 2598.08)","(-4000.0, 0.0)",H7,H15,5000,212
97,p98,9,"(-500.0, 4330.13)","(-500.0, 866.03)",H18,H1,3999,212
98,p99,9,"(500.0, -2598.08)","(-1000.0, -0.0)",H12,H6,3000,176
99,p100,9,"(1500.0, -2598.08)","(-3000.0, -1732.05)",H11,H14,5000,276
100,p101,9,"(1500.0, -2598.08)","(1000.0, 3464.1)",H11,H18,7000,240
101,p102,9,"(2500.0, 866.03)","(2000.0, -3464.1)",H8,H11,5000,234
102,p103,9,"(0, -3464.1)","(-2500.0, -866.03)",H12,H5,3999,232
103,p104,9,"(-2500.0, -2598.08)","(-500.0, -2598.08)",H14,H12,2000,94
104,p105,10,"(-2500.0, 866.03)","(500.0, 2598.08)",H16,H19,3999,165
105,p106,10,"(-500.0, 2598.08)","(-2000.0, 0.0)",H18,H6,3000,128
106,p107,10,"(-500.0, -4330.13)","(-3000.0, -1732.05)",H12,H14,4000,243
107,p108,10,"(3500.0, -2598.08)","(0, -3464.1)",H10,H12,3999,212
108,p109,10,"(-2500.0, -866.03)","(2500.0, -2598.08)",H15,H11,5999,223
109,p110,10,"(-2000.0, 1732.05)","(-1000.0, 0.0)",H16,H5,1999,105
110,p111,11,"(-500.0, 866.03)","(3500.0, 866.03)",H6,H9,4000,205
111,p112,11,"(-3500.0, -2598.08)","(-4000.0, 1732.05)",H14,H16,5000,257
112,p113,11,"(500.0, 4330.13)","(500.0, 2598.08)",H18,H18,1999,107
113,p114,11,"(-2000.0, 0.0)","(2500.0, -866.03)",H5,H10,5000,230
114,p115,11,"(-1000.0, 3464.1)","(1500.0, 866.03)",H17,H2,3999,239
115,p116,11,"(-4000.0, 0.0)","(-1000.0, -3464.1)",H15,H12,4999,173
116,p117,11,"(500.0, -2598.08)","(-1500.0, -866.03)",H4,H5,2999,110
117,p118,12,"(1000.0, 0.0)","(500.0, 2598.08)",H1,H19,3000,163
118,p119,12,"(-1500.0, -2598.08)","(500.0, -2598.08)",H13,H11,2000,101
119,p120,12,"(2000.0, 1732.05)","(2000.0, 0.0)",H2,H9,1999,92
120,p121,12,"(-3500.0, 866.03)","(-2500.0, -866.03)",H15,H5,2000,113
121,p122,12,"(4000.0, 0.0)","(500.0, 866.03)",H9,H7,4000,195
122,p123,12,"(-500.0, 2598.08)","(2500.0, 2598.08)",H17,H19,3000,144
123,p124,12,"(-3500.0, -866.03)","(500.0, -866.03)",H14,H3,4000,180
124,p125,12,"(1000.0, -3464.1)","(1000.0, -1732.05)",H11,H11,1999,83
125,p126,12,"(2000.0, 1732.05)","(-1500.0, 2598.08)",H2,H17,4000,161
126,p127,12,"(-3500.0, 866.03)","(-1000.0, 0.0)",H15,H1,3000,137
127,p128,13,"(3000.0, -1732.05)","(1000.0, -3464.1)",H10,H12,2999,133
128,p129,13,"(2000.0, -1732.05)","(-3500.0, -2598.08)",H10,H14,6000,340
129,p130,13,"(2500.0, 866.03)","(-500.0, 866.03)",H2,H6,3000,133
130,p131,13,"(-1000.0, -1732.05)","(-3500.0, -866.03)",H5,H15,2999,135
131,p132,13,"(-500.0, 4330.13)","(2500.0, 866.03)",H18,H2,4999,220
132,p133,13,"(1000.0, -1732.05)","(-1000.0, 1732.05)",H11,H6,3999,149
133,p134,13,"(-2500.0, 2598.08)","(2000.0, -0.0)",H16,H2,6000,261
134,p135,13,"(-2500.0, 866.03)","(4000.0, 0.0)",H15,H9,7000,382
135,p136,13,"(2500.0, 2598.08)","(-2500.0, -866.03)",H19,H14,7000,412
136,p137,13,"(500.0, 2598.08)","(-1500.0, -866.03)",H18,H5,4000,198
137,p138,13,"(2500.0, -866.03)","(-1000.0, 1732.05)",H10,H7,5000,202
138,p139,13,"(2500.0, 2598.08)","(3500.0, -2598.08)",H8,H10,6000,333
139,p140,13,"(2000.0, 1732.05)","(-2000.0, -1732.05)",H19,H5,5999,233
140,p141,13,"(-1000.0, 1732.05)","(2000.0, 0.0)",H7,H3,3999,224
141,p142,13,"(-1000.0, 0.0)","(500.0, -866.03)",H1,H3,2000,113
142,p143,13,"(-500.0, -4330.13)","(-2500.0, 2598.08)",H12,H17,8000,417
143,p144,13,"(-3500.0, -866.03)","(4000.0, -1732.05)",H15,H10,7999,436
144,p145,14,"(2000.0, -1732.05)","(-2500.0, 2598.08)",H10,H17,7000,303
145,p146,14,"(-500.0, -2598.08)","(500.0, 2598.08)",H4,H7,6000,240
146,p147,14,"(3000.0, 0.0)","(1000.0, -3464.1)",H9,H12,3999,143
147,p148,14,"(1000.0, -1732.05)","(-3500.0, -866.03)",H4,H15,4999,236
148,p149,14,"(-3500.0, 866.03)","(2000.0, 1732.05)",H15,H19,5999,201
149,p150,14,"(-1000.0, 0.0)","(2500.0, 866.03)",H1,H8,4000,223
150,p151,14,"(1000.0, 3464.1)","(-3000.0, 1732.05)",H18,H16,4999,272
151,p152,14,"(-1000.0, -1732.05)","(2000.0, 0.0)",H5,H9,3999,182
152,p153,15,"(1000.0, -1732.05)","(500.0, 2598.08)",H4,H19,5000,306
153,p154,15,"(-1000.0, 3464.1)","(2500.0, -866.03)",H18,H9,6000,285
154,p155,15,"(-3500.0, -866.03)","(3500.0, 2598.08)",H15,H8,9000,544
155,p156,15,"(-1500.0, -866.03)","(500.0, -2598.08)",H5,H12,2999,162
156,p157,15,"(0, -1732.05)","(1500.0, 866.03)",H4,H2,3000,141
157,p158,15,"(0, -3464.1)","(-1000.0, 0.0)",H12,H1,3999,185
158,p159,15,"(-1000.0, -1732.05)","(-3500.0, 866.03)",H5,H15,4000,138
159,p160,15,"(-500.0, -4330.13)","(-500.0, -866.03)",H12,H1,3999,178
160,p161,15,"(-500.0, -866.03)","(1000.0, -1732.05)",H1,H3,1999,126
161,p162,15,"(2000.0, 1732.05)","(-2500.0, 2598.08)",H19,H16,5000,183
162,p163,15,"(-2500.0, -866.03)","(-2500.0, -2598.08)",H14,H13,1999,96
163,p164,15,"(2000.0, 1732.05)","(-3000.0, 1732.05)",H19,H16,5000,267
164,p165,16,"(0, 3464.1)","(2500.0, -2598.08)",H18,H11,7000,352
165,p166,16,"(-2500.0, -2598.08)","(-3000.0, 1732.05)",H14,H16,5000,244
166,p167,16,"(-500.0, -2598.08)","(500.0, -866.03)",H12,H3,1999,109
167,p168,16,"(-2500.0, 866.03)","(1000.0, -1732.05)",H16,H4,5000,253
168,p169,16,"(500.0, -866.03)","(-2500.0, -2598.08)",H3,H13,3999,227
169,p170,16,"(1000.0, -1732.05)","(-2000.0, 0.0)",H3,H5,3999,198
170,p171,16,"(2000.0, -1732.05)","(-3000.0, 0.0)",H10,H15,5999,322
171,p172,16,"(-2000.0, 0.0)","(2000.0, -0.0)",H6,H2,4000,174
172,p173,16,"(1500.0, 866.03)","(2500.0, -866.03)",H2,H10,2000,97
173,p174,16,"(-1500.0, -2598.08)","(500.0, 2598.08)",H13,H19,6000,322
174,p175,16,"(1000.0, 0.0)","(-2500.0, -2598.08)",H2,H14,5000,193
175,p176,16,"(500.0, -2598.08)","(-4000.0, -1732.05)",H4,H14,5000,235
176,p177,16,"(-3000.0, -1732.05)","(-1000.0, -3464.1)",H14,H12,2999,162
177,p178,17,"(2000.0, 1732.05)","(2500.0, -2598.08)",H2,H11,5000,275
178,p179,17,"(2500.0, -2598.08)","(-3500.0, 866.03)",H11,H16,8000,458
179,p180,17,"(-500.0, -4330.13)","(3500.0, 2598.08)",H12,H8,8000,290
180,p181,17,"(2000.0, -1732.05)","(-1500.0, 866.03)",H10,H6,5000,257
181,p182,17,"(2500.0, 2598.08)","(2500.0, -866.03)",H19,H9,4000,180
182,p183,17,"(-1000.0, -3464.1)","(500.0, -4330.13)",H13,H12,2000,107
183,p184,17,"(3500.0, -2598.08)","(-1000.0, 0.0)",H10,H1,6000,204
184,p185,17,"(500.0, -2598.08)","(-2000.0, -1732.05)",H11,H5,3000,163
185,p186,17,"(-2500.0, -866.03)","(-2500.0, 866.03)",H14,H15,2000,107
186,p187,17,"(1000.0, 0.0)","(-3000.0, 1732.05)",H1,H16,4999,278
187,p188,17,"(3000.0, 0.0)","(-3000.0, -1732.05)",H9,H14,6999,240
188,p189,17,"(-500.0, -2598.08)","(2500.0, 2598.08)",H13,H19,6000,345
189,p190,17,"(1500.0, 2598.08)","(-500.0, 866.03)",H19,H6,2999,125
190,p191,17,"(-2500.0, -2598.08)","(-1000.0, -3464.1)",H13,H12,1999,111
191,p192,18,"(-1000.0, 1732.05)","(4000.0, 1732.05)",H17,H8,5000,249
192,p193,18,"(2000.0, -1732.05)","(-3000.0, -1732.05)",H3,H14,5000,261
193,p194,18,"(500.0, 866.03)","(-3000.0, 1732.05)",H7,H16,3999,169
194,p195,18,"(-1500.0, -2598.08)","(500.0, 2598.08)",H13,H19,6000,230
195,p196,18,"(2000.0, 1732.05)","(-500.0, -4330.13)",H8,H12,7000,324
196,p197,18,"(2500.0, 866.03)","(0, 3464.1)",H2,H18,3999,150
197,p198,18,"(3500.0, -866.03)","(500.0, -2598.08)",H10,H12,3999,212
198,p199,18,"(-4000.0, -1732.05)","(-2000.0, 0.0)",H14,H6,2999,151
199,p200,18,"(-3500.0, 866.03)","(-2000.0, 0.0)",H15,H15,2000,87
200,p201,18,"(1500.0, -866.03)","(-500.0, 2598.08)",H3,H7,4000,206
201,p202,18,"(-1000.0, -1732.05)","(1000.0, 1732.05)",H13,H19,3999,201
202,p203,18,"(1000.0, -3464.1)","(2000.0, -1732.05)",H11,H10,1999,81
203,p204,18,"(-2000.0, 0.0)","(-500.0, -2598.08)",H6,H4,3000,141
204,p205,19,"(500.0, 866.03)","(-3000.0, 0.0)",H1,H15,4000,242
205,p206,19,"(-500.0, 2598.08)","(-4000.0, 1732.05)",H18,H16,4000,208
206,p207,19,"(-1000.0, -1732.05)","(1000.0, -1732.05)",H4,H3,2000,102
207,p208,19,"(3500.0, 866.03)","(1500.0, 866.03)",H8,H2,2000,122
208,p209,19,"(1000.0, 1732.05)","(2000.0, -1732.05)",H19,H11,3999,250
209,p210,19,"(-1000.0, -0.0)","(2000.0, 1732.05)",H6,H8,3999,166
210,p211,20,"(1500.0, 866.03)","(-1000.0, -3464.1)",H2,H13,5000,221
211,p212,20,"(500.0, 866.03)","(500.0, 4330.13)",H7,H18,3999,200
212,p213,20,"(-1000.0, 3464.1)","(-4000.0, 1732.05)",H17,H16,3999,200
213,p214,20,"(1000.0, 1732.05)","(500.0, -866.03)",H7,H3,3000,180
214,p215,20,"(-500.0, 866.03)","(-2000.0, -1732.05)",H1,H14,3000,180
215,p216,20,"(-2000.0, -1732.05)","(1500.0, -2598.08)",H13,H11,4000,215
216,p217,20,"(3500.0, 866.03)","(-1000.0, -0.0)",H9,H6,5000,257
217,p218,20,"(-1500.0, 866.03)","(-2000.0, -1732.05)",H6,H13,3000,164
218,p219,20,"(-500.0, -866.03)","(1500.0, 2598.08)",H1,H19,4000,205
219,p220,21,"(2000.0, -1732.05)","(1000.0, 3464.1)",H3,H19,5999,301
220,p221,21,"(-1500.0, -2598.08)","(0, 1732.05)",H13,H7,5000,258
221,p222,21,"(-2000.0, -1732.05)","(500.0, 866.03)",H14,H1,4000,246
222,p223,21,"(3500.0, -2598.08)","(-3500.0, -866.03)",H10,H15,7999,304
223,p224,21,"(-2000.0, 0.0)","(0, 1732.05)",H6,H7,2999,118
224,p225,21,"(-4000.0, 0.0)","(2000.0, 1732.05)",H15,H2,6999,327
225,p226,21,"(-500.0, 866.03)","(-2500.0, 866.03)",H7,H15,2000,128
226,p227,21,"(-1000.0, -1732.05)","(2000.0, 0.0)",H13,H9,3999,189
227,p228,21,"(-500.0, 2598.08)","(2500.0, 866.03)",H18,H2,3999,156
228,p229,21,"(0, 0)","(-2000.0, 0.0)",H1,H6,2000,103
229,p230,21,"(1500.0, -866.03)","(-2500.0, 866.03)",H3,H6,5000,231
230,p231,22,"(1000.0, -1732.05)","(-3500.0, 866.03)",H11,H15,6000,302
231,p232,22,"(1500.0, 866.03)","(0, 3464.1)",H2,H18,2999,166
232,p233,22,"(-2000.0, -3464.1)","(-2000.0, -1732.05)",H13,H14,1999,125
233,p234,22,"(1000.0, 1732.05)","(2000.0, -0.0)",H2,H2,1999,95
234,p235,22,"(-2000.0, -3464.1)","(2500.0, 866.03)",H13,H2,7000,337
235,p236,22,"(-1000.0, -3464.1)","(-2000.0, 0.0)",H12,H15,3999,166
236,p237,22,"(-500.0, -4330.13)","(1000.0, 0.0)",H12,H1,5000,250
237,p238,22,"(3000.0, -1732.05)","(-500.0, -2598.08)",H10,H4,4000,198
238,p239,22,"(-500.0, 2598.08)","(-2000.0, 0.0)",H18,H15,3000,188
239,p240,22,"(2000.0, 1732.05)","(-4000.0, -1732.05)",H19,H14,7999,416
240,p241,22,"(-500.0, 866.03)","(-500.0, -866.03)",H6,H4,2000,134
241,p242,22,"(1000.0, 3464.1)","(2500.0, 2598.08)",H18,H8,1999,123
242,p243,23,"(-500.0, -2598.08)","(3500.0, 866.03)",H4,H8,6000,275
243,p244,23,"(-500.0, -866.03)","(-2000.0, -1732.05)",H4,H5,1999,84
244,p245,23,"(1000.0, 3464.1)","(2500.0, 866.03)",H19,H9,2999,142
245,p246,23,"(1000.0, 1732.05)","(-2000.0, 1732.05)",H7,H6,3000,156
246,p247,23,"(-1500.0, 866.03)","(-1500.0, -866.03)",H6,H5,2000,88
247,p248,23,"(-2000.0, -1732.05)","(-3500.0, 866.03)",H13,H15,3000,173
248,p249,24,"(500.0, 2598.08)","(1000.0, 0.0)",H7,H3,3000,169
249,p250,24,"(1000.0, 1732.05)","(1000.0, 3464.1)",H2,H19,1999,118
250,p251,24,"(-500.0, -2598.08)","(1500.0, 2598.08)",H4,H19,6000,359
251,p252,24,"(500.0, -866.03)","(-4000.0, 1732.05)",H4,H16,6000,287
252,p253,24,"(500.0, -2598.08)","(3000.0, 0.0)",H4,H9,4000,252
253,p254,24,"(-500.0, 2598.08)","(1500.0, -866.03)",H18,H3,4000,212
254,p255,24,"(500.0, -866.03)","(2500.0, 2598.08)",H3,H8,4000,185
255,p256,24,"(-1000.0, -0.0)","(-1000.0, 3464.1)",H6,H17,3999,164
256,p257,24,"(-1500.0, 866.03)","(1500.0, -866.03)",H6,H3,4000,192
257,p258,24,"(-2500.0, -2598.08)","(2500.0, -866.03)",H13,H9,5999,280
258,p259,24,"(-4000.0, 1732.05)","(3000.0, 1732.05)",H16,H8,7000,390
259,p260,25,"(-2500.0, 2598.08)","(-1500.0, -2598.08)",H17,H13,6000,334
260,p261,25,"(-1000.0, 3464.1)","(2500.0, -2598.08)",H18,H10,7000,415
261,p262,25,"(-1000.0, -3464.1)","(2500.0, 866.03)",H13,H8,6000,212
262,p263,25,"(-2500.0, 2598.08)","(500.0, -2598.08)",H16,H4,6000,205
263,p264,25,"(-4000.0, 1732.05)","(500.0, -866.03)",H16,H3,6000,327
264,p265,25,"(-1500.0, 2598.08)","(-3500.0, -866.03)",H17,H15,4000,174
265,p266,25,"(500.0, -2598.08)","(2000.0, -1732.05)",H12,H3,2000,114
266,p267,25,"(-500.0, -2598.08)","(-2000.0, 0.0)",H4,H15,3000,153
267,p268,25,"(-2000.0, -1732.05)","(500.0, 866.03)",H5,H1,4000,219
268,p269,25,"(2500.0, -866.03)","(2000.0, -3464.1)",H3,H11,2999,185
269,p270,26,"(-2500.0, -866.03)","(-1000.0, 3464.1)",H14,H17,5000,212
270,p271,26,"(2500.0, -2598.08)","(2000.0, 0.0)",H10,H9,3000,126
271,p272,26,"(1000.0, 1732.05)","(-1000.0, -1732.05)",H7,H4,3999,215
272,p273,26,"(3500.0, -866.03)","(2000.0, -1732.05)",H10,H10,1999,99
273,p274,26,"(-2500.0, -2598.08)","(2500.0, 866.03)",H13,H8,7000,353
274,p275,26,"(-3000.0, 1732.05)","(0, -1732.05)",H16,H4,4999,257
275,p276,26,"(-1000.0, 1732.05)","(-1000.0, -1732.05)",H6,H4,3999,247
276,p277,26,"(-2500.0, -866.03)","(-4000.0, -1732.05)",H5,H14,1999,118
277,p278,26,"(1000.0, 1732.05)","(-2000.0, 0.0)",H2,H6,3999,184
278,p279,26,"(1000.0, -3464.1)","(1000.0, 0.0)",H12,H1,3999,163
279,p280,27,"(1000.0, -3464.1)","(1000.0, 3464.1)",H12,H18,7999,314
280,p281,27,"(-1000.0, 3464.1)","(2500.0, 2598.08)",H18,H19,3999,195
281,p282,27,"(2000.0, -1732.05)","(3500.0, 2598.08)",H11,H8,5000,231
282,p283,27,"(2000.0, 3464.1)","(2000.0, -3464.1)",H19,H11,7999,397
283,p284,27,"(-1000.0, 3464.1)","(500.0, -866.03)",H18,H3,5000,216
284,p285,28,"(1500.0, 866.03)","(-1000.0, 1732.05)",H2,H6,2999,154
285,p286,28,"(-500.0, -866.03)","(-1000.0, 1732.05)",H4,H17,3000,139
286,p287,28,"(0, -1732.05)","(-1500.0, 2598.08)",H4,H17,5000,214
287,p288,28,"(500.0, 866.03)","(2500.0, 866.03)",H2,H8,2000,124
288,p289,28,"(500.0, 2598.08)","(-1000.0, -0.0)",H19,H6,3000,170
289,p290,28,"(-500.0, -2598.08)","(2500.0, 2598.08)",H12,H8,6000,384
290,p291,28,"(-1000.0, -3464.1)","(-500.0, -866.03)",H12,H1,2999,177
291,p292,28,"(-1000.0, 3464.1)","(2000.0, 1732.05)",H17,H8,3999,208
292,p293,28,"(-1000.0, 1732.05)","(3500.0, 866.03)",H7,H9,4999,322
293,p294,28,"(-3500.0, 2598.08)","(2000.0, 3464.1)",H16,H19,5999,273
294,p295,28,"(1000.0, 0.0)","(-500.0, -866.03)",H2,H4,2000,98
295,p296,28,"(-2500.0, 2598.08)","(-1000.0, 0.0)",H17,H5,3000,147
296,p297,29,"(500.0, 4330.13)","(500.0, -4330.13)",H18,H12,10000,407
297,p298,29,"(-1000.0, 3464.1)","(-4000.0, 1732.05)",H18,H16,3999,185
298,p299,29,"(-1500.0, 2598.08)","(2500.0, -866.03)",H17,H9,6000,292
299,p300,29,"(-2500.0, 866.03)","(1000.0, -3464.1)",H15,H12,6000,338
300,p301,29,"(3500.0, 866.03)","(-2500.0, -866.03)",H9,H14,7000,281
301,p302,29,"(-3500.0, 2598.08)","(500.0, -4330.13)",H16,H12,8000,269
302,p303,29,"(2500.0, 2598.08)","(-2000.0, 0.0)",H19,H5,6000,321
303,p304,29,"(-1500.0, -866.03)","(500.0, 866.03)",H5,H1,3000,199
304,p305,30,"(-1000.0, 1732.05)","(1500.0, -2598.08)",H17,H11,5000,240
305,p306,30,"(0, 0)","(500.0, -2598.08)",H1,H4,3000,192
306,p307,30,"(1000.0, 0.0)","(500.0, -2598.08)",H1,H4,3000,166
307,p308,30,"(1000.0, 3464.1)","(-1000.0, -0.0)",H18,H6,3999,188
308,p309,30,"(-1000.0, 1732.05)","(2000.0, -3464.1)",H17,H11,5999,296
309,p310,30,"(-2000.0, -3464.1)","(3500.0, -866.03)",H13,H10,6999,332
310,p311,30,"(2500.0, 866.03)","(-500.0, 2598.08)",H9,H17,3999,169
311,p312,30,"(-2500.0, -2598.08)","(3500.0, -2598.08)",H13,H10,6000,236
