,parcel_id,t_a,pick_up,drop_off,h1,h2,shortest_distance,t_dl
27,p28,3,"(-500.0, -866.03)","(-1500.0, 2598.08)",H1,H17,4000,174
28,p29,3,"(500.0, -866.03)","(2500.0, -866.03)",H1,H3,2000,76
29,p30,3,"(500.0, 866.03)","(2500.0, 866.03)",H1,H2,2000,103
30,p31,4,"(-500.0, 866.03)","(-2500.0, -2598.08)",H1,H14,4000,212
31,p32,4,"(500.0, -866.03)","(-500.0, -2598.08)",H1,H13,1999,122
32,p33,4,"(1000.0, 0.0)","(-2500.0, -2598.08)",H1,H14,5000,247
33,p34,4,"(-500.0, 866.03)","(2500.0, 866.03)",H1,H8,3000,117
34,p35,4,"(-1000.0, 0.0)","(4000.0, 1732.05)",H1,H8,5999,231
35,p36,4,"(-500.0, 866.03)","(-2000.0, -1732.05)",H1,H13,3000,166
36,p37,4,"(-500.0, -866.03)","(-2000.0, 1732.05)",H1,H17,3000,141
37,p38,4,"(-500.0, 866.03)","(-500.0, 2598.08)",H1,H18,1999,70
38,p39,5,"(500.0, -866.03)","(500.0, 2598.08)",H1,H19,4000,189
39,p40,5,"(-1000.0, 0.0)","(-3500.0, 866.03)",H1,H15,3000,154
40,p41,5,"(-500.0, -866.03)","(2000.0, 0.0)",H1,H9,3000,162
41,p42,5,"(-500.0, 866.03)","(1500.0, -2598.08)",H1,H11,4000,156
42,p43,5,"(500.0, 866.03)","(-1000.0, -3464.1)",H1,H12,5000,206
43,p44,6,"(1000.0, 0.0)","(2500.0, 866.03)",H1,H2,2000,73
44,p45,6,"(-1000.0, 0.0)","(-500.0, 4330.13)",H1,H18,5000,192
45,p46,6,"(0, 0)","(-1000.0, -1732.05)",H1,H13,1999,84
46,p47,6,"(-500.0, -866.03)","(2000.0, 1732.05)",H1,H8,4000,186
47,p48,6,"(-500.0, -866.03)","(1000.0, 0.0)",H1,H3,2000,80
48,p49,6,"(500.0, -866.03)","(-1500.0, 2598.08)",H1,H17,4000,152
49,p50,6,"(500.0, 866.03)","(-2000.0, 0.0)",H1,H6,3000,154
50,p51,6,"(0, 0)","(1000.0, -3464.1)",H1,H11,3999,140
51,p52,6,"(500.0, -866.03)","(1500.0, 866.03)",H1,H2,2000,89
52,p53,6,"(-500.0, 866.03)","(-500.0, -866.03)",H1,H1,2000,89
53,p54,6,"(-500.0, -866.03)","(2000.0, 3464.1)",H1,H19,5000,228
54,p55,6,"(500.0, -866.03)","(1000.0, 3464.1)",H1,H19,5000,204
55,p56,7,"(0, 0)","(1000.0, -1732.05)",H1,H11,1999,110
56,p57,7,"(-500.0, -866.03)","(2500.0, 866.03)",H1,H8,4000,187
57,p58,7,"(500.0, -866.03)","(0, 3464.1)",H1,H18,5000,157
58,p59,7,"(500.0, 866.03)","(4000.0, 1732.05)",H1,H8,3999,209
59,p60,7,"(-500.0, 866.03)","(-2000.0, 0.0)",H1,H5,2000,103
60,p61,7,"(500.0, -866.03)","(1000.0, 3464.1)",H1,H18,5000,232
61,p62,7,"(500.0, -866.03)","(1500.0, 866.03)",H1,H2,2000,123
62,p63,7,"(1000.0, 0.0)","(-2000.0, 1732.05)",H1,H6,3999,137
63,p64,8,"(-1000.0, 0.0)","(3500.0, 2598.08)",H1,H8,6000,260
64,p65,8,"(500.0, -866.03)","(2500.0, 2598.08)",H1,H8,4000,183
65,p66,8,"(500.0, 866.03)","(-2000.0, 1732.05)",H1,H17,2999,159
66,p67,8,"(-1000.0, 0.0)","(1000.0, -1732.05)",H1,H4,2999,141
67,p68,8,"(-1000.0, 0.0)","(3000.0, 0.0)",H1,H9,4000,200
68,p69,8,"(500.0, 866.03)","(500.0, -866.03)",H1,H4,2000,79
69,p70,8,"(500.0, -866.03)","(-1000.0, -1732.05)",H1,H13,1999,80
70,p71,8,"(0, 0)","(500.0, 2598.08)",H1,H7,3000,183
71,p72,8,"(-500.0, 866.03)","(3000.0, -1732.05)",H1,H10,5000,266
72,p73,8,"(-500.0, -866.03)","(1500.0, -866.03)",H1,H3,2000,68
73,p74,8,"(500.0, -866.03)","(-3500.0, -866.03)",H1,H15,4000,157
74,p75,8,"(-1000.0, 0.0)","(2000.0, -1732.05)",H1,H3,3999,205
75,p76,8,"(500.0, 866.03)","(3500.0, 2598.08)",H1,H8,3999,181
76,p77,9,"(-500.0, 866.03)","(-4000.0, -1732.05)",H1,H14,5000,273
77,p78,9,"(-500.0, 866.03)","(500.0, -4330.13)",H1,H12,6000,297
78,p79,9,"(1000.0, 0.0)","(-1500.0, -2598.08)",H1,H13,4000,249
79,p80,9,"(-500.0, -866.03)","(-1000.0, -3464.1)",H1,H13,2999,115
80,p81,9,"(-500.0, -866.03)","(2500.0, 866.03)",H1,H8,4000,134
81,p82,9,"(-1000.0, 0.0)","(1500.0, -2598.08)",H1,H11,4000,187
82,p83,9,"(500.0, 866.03)","(4000.0, 0.0)",H1,H9,4000,194
83,p84,9,"(500.0, -866.03)","(1500.0, 2598.08)",H1,H19,4000,177
84,p85,10,"(500.0, 866.03)","(-500.0, -866.03)",H1,H5,2000,73
85,p86,10,"(-500.0, -866.03)","(-2500.0, 866.03)",H1,H16,3000,172
86,p87,10,"(-500.0, -866.03)","(2000.0, 0.0)",H1,H3,3000,160
87,p88,11,"(0, 0)","(-500.0, -2598.08)",H1,H13,3000,144
88,p89,11,"(-1000.0, 0.0)","(2500.0, -866.03)",H1,H10,4000,210
89,p90,11,"(1000.0, 0.0)","(-3000.0, 0.0)",H1,H15,4000,150
90,p91,11,"(0, 0)","(-1000.0, -1732.05)",H1,H5,1999,128
91,p92,11,"(-1000.0, 0.0)","(-2000.0, -1732.05)",H1,H5,1999,115
92,p93,11,"(0, 0)","(2500.0, 2598.08)",H1,H8,4000,177
93,p94,11,"(1000.0, 0.0)","(2500.0, 2598.08)",H1,H19,3000,114
94,p95,11,"(500.0, 866.03)","(-3000.0, 1732.05)",H1,H16,3999,186
95,p96,11,"(1000.0, 0.0)","(-500.0, 4330.13)",H1,H18,5000,185
96,p97,11,"(-1000.0, 0.0)","(-2500.0, 866.03)",H1,H15,2000,78
97,p98,11,"(-500.0, 866.03)","(-2000.0, -1732.05)",H1,H5,3000,166
98,p99,11,"(-500.0, 866.03)","(1500.0, 866.03)",H1,H2,2000,87
99,p100,11,"(500.0, -866.03)","(2000.0, -0.0)",H1,H2,2000,105
100,p101,11,"(-500.0, 866.03)","(3000.0, 1732.05)",H1,H8,3999,215
101,p102,11,"(500.0, 866.03)","(1500.0, -866.03)",H1,H3,2000,124
102,p103,11,"(-500.0, 866.03)","(1000.0, -1732.05)",H1,H4,3000,128
103,p104,12,"(1000.0, 0.0)","(1000.0, -1732.05)",H1,H3,1999,106
104,p105,12,"(-1000.0, 0.0)","(1000.0, 3464.1)",H1,H18,3999,156
105,p106,12,"(-1000.0, 0.0)","(0, -3464.1)",H1,H12,3999,220
106,p107,12,"(1000.0, 0.0)","(3500.0, -866.03)",H1,H9,3000,154
107,p108,12,"(1000.0, 0.0)","(-2500.0, -866.03)",H1,H15,4000,235
108,p109,12,"(0, 0)","(-3500.0, 866.03)",H1,H16,4000,214
109,p110,12,"(0, 0)","(-2500.0, -2598.08)",H1,H13,4000,149
110,p111,12,"(-1000.0, 0.0)","(2000.0, -3464.1)",H1,H11,4999,285
111,p112,12,"(500.0, -866.03)","(-2500.0, 866.03)",H1,H6,4000,202
112,p113,12,"(0, 0)","(-1500.0, 866.03)",H1,H6,2000,89
113,p114,12,"(-500.0, -866.03)","(500.0, -2598.08)",H1,H11,1999,107
114,p115,12,"(-500.0, -866.03)","(-1000.0, 3464.1)",H1,H18,5000,276
115,p116,12,"(-1000.0, 0.0)","(2000.0, -0.0)",H1,H2,3000,182
116,p117,12,"(500.0, -866.03)","(3500.0, -2598.08)",H1,H10,3999,207
117,p118,13,"(-500.0, -866.03)","(-1000.0, 1732.05)",H1,H7,3000,140
118,p119,13,"(500.0, 866.03)","(-500.0, 4330.13)",H1,H18,3999,197
119,p120,13,"(-1000.0, 0.0)","(-3000.0, 0.0)",H1,H15,2000,98
120,p121,13,"(-500.0, 866.03)","(4000.0, 1732.05)",H1,H8,4999,193
121,p122,13,"(-1000.0, 0.0)","(-2000.0, -1732.05)",H1,H14,1999,99
122,p123,13,"(-1000.0, 0.0)","(-1000.0, -3464.1)",H1,H13,3999,169
123,p124,13,"(-500.0, 866.03)","(-1000.0, -3464.1)",H1,H13,5000,244
124,p125,14,"(500.0, 866.03)","(3000.0, 0.0)",H1,H9,3000,118
125,p126,14,"(500.0, 866.03)","(-2000.0, -3464.1)",H1,H13,5000,242
126,p127,14,"(-1000.0, 0.0)","(-2000.0, -3464.1)",H1,H13,3999,230
127,p128,14,"(-1000.0, 0.0)","(3000.0, 1732.05)",H1,H8,4999,194
128,p129,14,"(-500.0, 866.03)","(-4000.0, 0.0)",H1,H15,4000,234
129,p130,14,"(-1000.0, 0.0)","(500.0, -866.03)",H1,H4,2000,128
130,p131,14,"(500.0, -866.03)","(-2000.0, 1732.05)",H1,H17,4000,237
131,p132,14,"(-500.0, -866.03)","(1000.0, 1732.05)",H1,H7,3000,170
132,p133,14,"(-1000.0, 0.0)","(1500.0, -2598.08)",H1,H11,4000,201
133,p134,14,"(-1000.0, 0.0)","(-3500.0, 866.03)",H1,H15,3000,187
134,p135,14,"(500.0, 866.03)","(-3500.0, 2598.08)",H1,H16,4999,227
135,p136,15,"(500.0, 866.03)","(-500.0, -866.03)",H1,H1,2000,103
136,p137,15,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H7,1999,94
137,p138,15,"(-500.0, -866.03)","(2500.0, -866.03)",H1,H9,3000,168
138,p139,15,"(0, 0)","(1000.0, 1732.05)",H1,H2,1999,113
139,p140,15,"(500.0, 866.03)","(0, -3464.1)",H1,H12,5000,210
140,p141,15,"(500.0, -866.03)","(-3500.0, 866.03)",H1,H15,5000,288
141,p142,16,"(1000.0, 0.0)","(-2000.0, 0.0)",H1,H15,3000,116
142,p143,16,"(-1000.0, 0.0)","(1000.0, -3464.1)",H1,H12,3999,236
143,p144,16,"(500.0, -866.03)","(3500.0, 866.03)",H1,H9,4000,205
144,p145,16,"(500.0, 866.03)","(3500.0, -2598.08)",H1,H10,5000,229
145,p146,16,"(500.0, 866.03)","(-2500.0, -2598.08)",H1,H14,5000,190
146,p147,16,"(-500.0, 866.03)","(2000.0, -1732.05)",H1,H3,4000,172
147,p148,16,"(-500.0, -866.03)","(-500.0, 2598.08)",H1,H17,4000,239
148,p149,16,"(0, 0)","(1500.0, -866.03)",H1,H3,2000,130
149,p150,16,"(-1000.0, 0.0)","(-3000.0, -1732.05)",H1,H14,2999,128
150,p151,16,"(-500.0, 866.03)","(-500.0, 2598.08)",H1,H7,1999,101
151,p152,16,"(500.0, -866.03)","(3000.0, 0.0)",H1,H9,3000,128
152,p153,16,"(1000.0, 0.0)","(-3500.0, -866.03)",H1,H14,5000,286
153,p154,16,"(-500.0, 866.03)","(-1000.0, 3464.1)",H1,H18,2999,135
154,p155,16,"(500.0, -866.03)","(-2500.0, 2598.08)",H1,H16,5000,259
155,p156,17,"(500.0, 866.03)","(-2000.0, 0.0)",H1,H5,3000,188
156,p157,17,"(-1000.0, 0.0)","(500.0, 866.03)",H1,H7,2000,127
157,p158,17,"(500.0, -866.03)","(1000.0, -3464.1)",H1,H12,2999,150
158,p159,17,"(0, 0)","(-3000.0, 1732.05)",H1,H16,3999,175
159,p160,17,"(500.0, -866.03)","(-4000.0, 0.0)",H1,H15,5000,218
160,p161,17,"(500.0, -866.03)","(2000.0, 3464.1)",H1,H19,5000,239
161,p162,17,"(-500.0, -866.03)","(-1000.0, 3464.1)",H1,H18,5000,293
162,p163,17,"(500.0, 866.03)","(-3500.0, 866.03)",H1,H16,4000,207
163,p164,17,"(-500.0, 866.03)","(-2500.0, -2598.08)",H1,H14,4000,161
164,p165,18,"(500.0, -866.03)","(-2500.0, 866.03)",H1,H16,4000,212
165,p166,18,"(500.0, 866.03)","(3000.0, -1732.05)",H1,H10,4000,241
166,p167,18,"(-1000.0, 0.0)","(2500.0, -866.03)",H1,H3,4000,246
167,p168,18,"(-1000.0, 0.0)","(1000.0, -3464.1)",H1,H11,3999,193
168,p169,18,"(-500.0, -866.03)","(500.0, -2598.08)",H1,H11,1999,116
169,p170,18,"(-1000.0, 0.0)","(-1000.0, 3464.1)",H1,H18,3999,212
170,p171,18,"(-500.0, -866.03)","(-2500.0, 2598.08)",H1,H16,4000,256
171,p172,18,"(-500.0, -866.03)","(3500.0, 866.03)",H1,H8,5000,237
172,p173,19,"(-500.0, 866.03)","(-1000.0, -3464.1)",H1,H13,5000,205
173,p174,19,"(1000.0, 0.0)","(-2500.0, 866.03)",H1,H15,4000,254
174,p175,19,"(500.0, -866.03)","(500.0, 2598.08)",H1,H18,4000,179
175,p176,19,"(500.0, 866.03)","(-2000.0, 0.0)",H1,H5,3000,173
176,p177,19,"(500.0, -866.03)","(2000.0, -0.0)",H1,H2,2000,90
177,p178,19,"(-1000.0, 0.0)","(-1000.0, -3464.1)",H1,H13,3999,194
178,p179,19,"(1000.0, 0.0)","(500.0, 4330.13)",H1,H18,5000,268
179,p180,19,"(500.0, -866.03)","(2000.0, -0.0)",H1,H2,2000,104
180,p181,19,"(0, 0)","(-2000.0, 1732.05)",H1,H6,2999,138
181,p182,19,"(-500.0, -866.03)","(0, 3464.1)",H1,H18,5000,229
182,p183,19,"(-1000.0, 0.0)","(500.0, -2598.08)",H1,H12,3000,174
183,p184,19,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H18,1999,103
184,p185,20,"(500.0, 866.03)","(2000.0, -1732.05)",H1,H11,3000,176
185,p186,20,"(1000.0, 0.0)","(-1500.0, -866.03)",H1,H5,3000,169
186,p187,20,"(-500.0, 866.03)","(-2000.0, 0.0)",H1,H5,2000,94
187,p188,20,"(500.0, -866.03)","(2000.0, -1732.05)",H1,H11,1999,109
188,p189,20,"(-500.0, -866.03)","(1000.0, 0.0)",H1,H3,2000,120
189,p190,20,"(0, 0)","(0, -3464.1)",H1,H12,3999,174
190,p191,21,"(0, 0)","(-500.0, -2598.08)",H1,H13,3000,199
191,p192,21,"(500.0, 866.03)","(-1000.0, -1732.05)",H1,H13,3000,129
192,p193,21,"(-1000.0, 0.0)","(2500.0, 2598.08)",H1,H8,5000,201
193,p194,21,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H18,1999,140
194,p195,21,"(1000.0, 0.0)","(2500.0, 2598.08)",H1,H8,3000,131
195,p196,21,"(1000.0, 0.0)","(-2000.0, 0.0)",H1,H15,3000,174
196,p197,21,"(-500.0, -866.03)","(3000.0, 1732.05)",H1,H8,5000,177
197,p198,21,"(1000.0, 0.0)","(2500.0, -2598.08)",H1,H11,3000,164
198,p199,22,"(1000.0, 0.0)","(2500.0, 866.03)",H1,H9,2000,100
199,p200,22,"(-1000.0, 0.0)","(-1000.0, -1732.05)",H1,H4,1999,125
200,p201,22,"(1000.0, 0.0)","(-1000.0, 1732.05)",H1,H7,2999,173
201,p202,22,"(-500.0, -866.03)","(-2000.0, -3464.1)",H1,H13,2999,191
202,p203,22,"(0, 0)","(3500.0, 2598.08)",H1,H8,5000,256
203,p204,22,"(-1000.0, 0.0)","(1500.0, 866.03)",H1,H2,3000,141
204,p205,22,"(0, 0)","(2000.0, 1732.05)",H1,H2,2999,175
205,p206,23,"(500.0, 866.03)","(-1000.0, 0.0)",H1,H1,2000,122
206,p207,23,"(500.0, 866.03)","(500.0, -2598.08)",H1,H4,4000,152
207,p208,23,"(-1000.0, 0.0)","(500.0, 2598.08)",H1,H7,3000,138
208,p209,23,"(1000.0, 0.0)","(3500.0, -866.03)",H1,H9,3000,131
209,p210,23,"(-500.0, 866.03)","(2000.0, -3464.1)",H1,H11,5000,257
210,p211,23,"(500.0, -866.03)","(-1500.0, -866.03)",H1,H5,2000,125
211,p212,23,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H19,1999,101
212,p213,23,"(-1000.0, 0.0)","(-3500.0, -866.03)",H1,H14,3000,129
213,p214,23,"(-1000.0, 0.0)","(3500.0, 2598.08)",H1,H8,6000,261
214,p215,23,"(-500.0, -866.03)","(2000.0, 1732.05)",H1,H8,4000,223
215,p216,23,"(-1000.0, 0.0)","(500.0, 866.03)",H1,H7,2000,121
216,p217,24,"(0, 0)","(2500.0, -866.03)",H1,H10,3000,164
217,p218,24,"(0, 0)","(2500.0, -2598.08)",H1,H10,4000,221
218,p219,24,"(1000.0, 0.0)","(-500.0, -4330.13)",H1,H12,5000,195
219,p220,24,"(-500.0, -866.03)","(-2500.0, 2598.08)",H1,H16,4000,202
220,p221,24,"(-1000.0, 0.0)","(-2000.0, 1732.05)",H1,H16,1999,134
221,p222,24,"(0, 0)","(0, 1732.05)",H1,H7,1999,135
222,p223,24,"(-1000.0, 0.0)","(-1500.0, 2598.08)",H1,H17,3000,129
223,p224,24,"(-500.0, 866.03)","(-3500.0, 866.03)",H1,H16,3000,165
224,p225,25,"(-500.0, 866.03)","(500.0, 2598.08)",H1,H18,1999,110
225,p226,25,"(-1000.0, 0.0)","(1000.0, -1732.05)",H1,H11,2999,160
226,p227,25,"(-500.0, 866.03)","(-500.0, 4330.13)",H1,H18,3999,152
227,p228,25,"(500.0, -866.03)","(2500.0, -866.03)",H1,H10,2000,113
228,p229,25,"(500.0, -866.03)","(1500.0, 866.03)",H1,H2,2000,124
229,p230,26,"(0, 0)","(-2500.0, 2598.08)",H1,H17,4000,237
230,p231,26,"(-500.0, 866.03)","(2000.0, 1732.05)",H1,H19,2999,202
231,p232,26,"(0, 0)","(-3000.0, 0.0)",H1,H15,3000,201
232,p233,26,"(500.0, -866.03)","(1500.0, -2598.08)",H1,H11,1999,118
233,p234,26,"(-500.0, 866.03)","(-1500.0, 2598.08)",H1,H17,1999,95
234,p235,27,"(0, 0)","(-3500.0, 866.03)",H1,H15,4000,243
235,p236,27,"(500.0, -866.03)","(-500.0, 866.03)",H1,H6,2000,133
236,p237,27,"(500.0, 866.03)","(-2000.0, 0.0)",H1,H5,3000,200
237,p238,27,"(500.0, 866.03)","(2000.0, -3464.1)",H1,H11,5000,300
238,p239,27,"(-500.0, -866.03)","(-500.0, -2598.08)",H1,H4,1999,125
239,p240,27,"(-1000.0, 0.0)","(-2000.0, 1732.05)",H1,H16,1999,142
240,p241,27,"(500.0, -866.03)","(2500.0, -866.03)",H1,H9,2000,139
241,p242,28,"(-500.0, 866.03)","(-500.0, 2598.08)",H1,H17,1999,121
242,p243,28,"(0, 0)","(2000.0, 1732.05)",H1,H8,2999,154
243,p244,28,"(500.0, -866.03)","(500.0, -2598.08)",H1,H4,1999,109
244,p245,28,"(500.0, 866.03)","(-1000.0, 3464.1)",H1,H18,2999,129
245,p246,28,"(500.0, 866.03)","(2000.0, 1732.05)",H1,H2,1999,112
246,p247,28,"(500.0, -866.03)","(500.0, 2598.08)",H1,H19,4000,158
247,p248,28,"(0, 0)","(-500.0, 2598.08)",H1,H7,3000,136
248,p249,28,"(500.0, 866.03)","(-2000.0, 1732.05)",H1,H6,2999,168
249,p250,28,"(-500.0, 866.03)","(3500.0, 866.03)",H1,H8,4000,225
250,p251,28,"(500.0, 866.03)","(-500.0, -4330.13)",H1,H12,6000,306
251,p252,28,"(0, 0)","(-2000.0, 1732.05)",H1,H17,2999,160
252,p253,28,"(500.0, 866.03)","(2500.0, 2598.08)",H1,H8,2999,151
253,p254,28,"(500.0, 866.03)","(-1000.0, 1732.05)",H1,H17,1999,105
254,p255,29,"(500.0, -866.03)","(-2500.0, 866.03)",H1,H16,4000,230
255,p256,29,"(-500.0, -866.03)","(-500.0, -4330.13)",H1,H12,3999,235
256,p257,29,"(-500.0, 866.03)","(500.0, -2598.08)",H1,H11,4000,261
257,p258,29,"(-500.0, 866.03)","(-500.0, -866.03)",H1,H5,2000,109
258,p259,29,"(500.0, -866.03)","(-2000.0, 1732.05)",H1,H16,4000,216
259,p260,29,"(-500.0, 866.03)","(1500.0, -2598.08)",H1,H11,4000,235
260,p261,29,"(500.0, -866.03)","(-2000.0, -1732.05)",H1,H13,2999,194
261,p262,29,"(0, 0)","(500.0, 2598.08)",H1,H7,3000,205
262,p263,29,"(-1000.0, 0.0)","(-1000.0, -3464.1)",H1,H13,3999,223
263,p264,29,"(0, 0)","(-3500.0, 866.03)",H1,H15,4000,204
264,p265,29,"(500.0, -866.03)","(2000.0, -1732.05)",H1,H3,1999,113
265,p266,29,"(-500.0, -866.03)","(-2500.0, 866.03)",H1,H15,3000,175
266,p267,29,"(0, 0)","(3500.0, 866.03)",H1,H8,4000,245
267,p268,29,"(-1000.0, 0.0)","(-2000.0, -1732.05)",H1,H5,1999,113
268,p269,30,"(-500.0, 866.03)","(-4000.0, -1732.05)",H1,H14,5000,276
269,p270,30,"(-1000.0, 0.0)","(0, -1732.05)",H1,H4,1999,111
270,p271,30,"(-500.0, 866.03)","(500.0, -866.03)",H1,H4,2000,102
271,p272,30,"(-1000.0, 0.0)","(-500.0, -2598.08)",H1,H4,3000,174
272,p273,30,"(-1000.0, 0.0)","(500.0, 4330.13)",H1,H18,5000,291
273,p274,30,"(-1000.0, 0.0)","(1000.0, 1732.05)",H1,H7,2999,210
274,p275,30,"(-500.0, -866.03)","(1000.0, 0.0)",H1,H3,2000,126
275,p276,30,"(-500.0, 866.03)","(1000.0, -1732.05)",H1,H4,3000,149
276,p277,30,"(-500.0, -866.03)","(3000.0, -1732.05)",H1,H10,3999,179
277,p278,30,"(-500.0, 866.03)","(1000.0, 3464.1)",H1,H19,2999,198
278,p279,31,"(-1000.0, 0.0)","(3500.0, -866.03)",H1,H9,5000,229
279,p280,31,"(500.0, 866.03)","(-4000.0, -1732.05)",H1,H14,6000,283
280,p281,31,"(500.0, -866.03)","(2000.0, 1732.05)",H1,H2,3000,175
281,p282,31,"(0, 0)","(-2500.0, -2598.08)",H1,H14,4000,211
282,p283,31,"(1000.0, 0.0)","(-3500.0, 866.03)",H1,H15,5000,211
283,p284,31,"(-500.0, -866.03)","(3000.0, -1732.05)",H1,H10,3999,242
284,p285,31,"(-500.0, -866.03)","(-2500.0, 866.03)",H1,H6,3000,141
285,p286,31,"(-500.0, 866.03)","(-4000.0, 1732.05)",H1,H16,3999,221
286,p287,31,"(500.0, -866.03)","(500.0, 866.03)",H1,H1,2000,103
287,p288,31,"(500.0, -866.03)","(500.0, -4330.13)",H1,H12,3999,180
288,p289,31,"(-1000.0, 0.0)","(-3500.0, -2598.08)",H1,H14,4000,173
289,p290,31,"(-1000.0, 0.0)","(-2500.0, -2598.08)",H1,H13,3000,168
290,p291,31,"(-1000.0, 0.0)","(0, -1732.05)",H1,H4,1999,99
291,p292,32,"(500.0, -866.03)","(2500.0, -2598.08)",H1,H10,2999,170
292,p293,32,"(0, 0)","(0, 1732.05)",H1,H7,1999,144
293,p294,32,"(-500.0, -866.03)","(-2000.0, 1732.05)",H1,H6,3000,149
294,p295,32,"(0, 0)","(2000.0, 0.0)",H1,H3,2000,129
295,p296,32,"(500.0, -866.03)","(2500.0, -866.03)",H1,H9,2000,133
296,p297,33,"(-500.0, -866.03)","(0, 1732.05)",H1,H7,3000,153
297,p298,33,"(0, 0)","(3000.0, 0.0)",H1,H9,3000,198
298,p299,33,"(-500.0, 866.03)","(-1500.0, 2598.08)",H1,H17,1999,148
299,p300,33,"(500.0, 866.03)","(-2000.0, 0.0)",H1,H6,3000,200
300,p301,33,"(500.0, -866.03)","(0, 3464.1)",H1,H18,5000,264
301,p302,33,"(500.0, 866.03)","(-2500.0, 866.03)",H1,H16,3000,191
302,p303,33,"(-500.0, -866.03)","(-500.0, -2598.08)",H1,H12,1999,124
303,p304,33,"(500.0, -866.03)","(4000.0, 1732.05)",H1,H8,5000,240
304,p305,33,"(-1000.0, 0.0)","(2000.0, 3464.1)",H1,H19,4999,237
305,p306,33,"(0, 0)","(-500.0, -2598.08)",H1,H12,3000,188
306,p307,33,"(-1000.0, 0.0)","(-1000.0, 1732.05)",H1,H6,1999,102
307,p308,34,"(500.0, 866.03)","(1000.0, -1732.05)",H1,H3,3000,188
308,p309,34,"(500.0, -866.03)","(2500.0, 866.03)",H1,H9,3000,124
309,p310,34,"(500.0, 866.03)","(1000.0, -1732.05)",H1,H3,3000,172
310,p311,34,"(-500.0, 866.03)","(-3500.0, -866.03)",H1,H14,4000,168
311,p312,34,"(500.0, 866.03)","(3000.0, 1732.05)",H1,H8,2999,187
312,p313,34,"(1000.0, 0.0)","(2000.0, 1732.05)",H1,H19,1999,137
313,p314,34,"(500.0, -866.03)","(-1000.0, -1732.05)",H1,H4,1999,138
314,p315,34,"(-500.0, 866.03)","(-3000.0, 1732.05)",H1,H16,2999,153
315,p316,34,"(0, 0)","(4000.0, -1732.05)",H1,H10,4999,280
316,p317,34,"(-500.0, -866.03)","(1000.0, 1732.05)",H1,H19,3000,133
317,p318,34,"(-500.0, 866.03)","(-2500.0, 866.03)",H1,H16,2000,121
318,p319,34,"(-1000.0, 0.0)","(-500.0, 2598.08)",H1,H7,3000,187
319,p320,34,"(-500.0, -866.03)","(2000.0, 1732.05)",H1,H19,4000,164
320,p321,35,"(-500.0, -866.03)","(500.0, 866.03)",H1,H7,2000,116
321,p322,35,"(500.0, -866.03)","(2000.0, -3464.1)",H1,H11,2999,170
